head_label,prompt_index,delta,delta_direction,top1_changed,dropped_from_top5,baseline_top1_token,baseline_top1_prob,resampled_top1_token,resampled_top1_prob
L0.H0,0,-0.01953125,decrease,False,False, Cairo,0.34619140625, Cairo,0.32666015625
L0.H0,1,0.000244140625,increase_or_same,False,False, Lag,0.295654296875, Lag,0.2958984375
L0.H0,2,0.02294921875,increase_or_same,False,False, N,0.50048828125, N,0.5234375
L0.H0,3,-0.00244140625,decrease,False,False, Add,0.54736328125, Add,0.544921875
L0.H0,4,-0.0074462890625,decrease,False,False, Cas,0.189453125, Cas,0.1820068359375
L0.H0,5,-0.00244140625,decrease,False,False, Acc,0.6328125, Acc,0.63037109375
L0.H0,6,0.01220703125,increase_or_same,False,False, Al,0.48681640625, Al,0.4990234375
L0.H0,7,-0.00146484375,decrease,True,False, Pret,0.31689453125, Cape,0.3154296875
L0.H0,8,0.00537109375,increase_or_same,False,False, Dar,0.703125, Dar,0.70849609375
L0.H0,9,-0.01416015625,decrease,False,False, Kamp,0.229248046875, Kamp,0.215087890625
L0.H0,10,0.006103515625,increase_or_same,False,False, Har,0.3955078125, Har,0.401611328125
L0.H0,11,-0.0009765625,decrease,False,False, L,0.433349609375, L,0.432373046875
L0.H0,12,-0.0087890625,decrease,False,False, Lu,0.303466796875, Lu,0.294677734375
L0.H0,13,-0.00146484375,decrease,False,False, Tun,0.30517578125, Tun,0.3037109375
L0.H0,14,-0.01513671875,decrease,False,False, Kh,0.5478515625, Kh,0.53271484375
L0.H0,15,0.0068359375,increase_or_same,False,False, Dak,0.5693359375, Dak,0.576171875
L0.H1,0,-0.005126953125,decrease,False,False, Cairo,0.34619140625, Cairo,0.341064453125
L0.H1,1,0.0126953125,increase_or_same,False,False, Lag,0.295654296875, Lag,0.308349609375
L0.H1,2,0.0048828125,increase_or_same,False,False, N,0.50048828125, N,0.50537109375
L0.H1,3,0.01513671875,increase_or_same,False,False, Add,0.54736328125, Add,0.5625
L0.H1,4,-0.0103759765625,decrease,False,False, Cas,0.189453125, Cas,0.1790771484375
L0.H1,5,-0.00390625,decrease,False,False, Acc,0.6328125, Acc,0.62890625
L0.H1,6,0.012939453125,increase_or_same,False,False, Al,0.48681640625, Al,0.499755859375
L0.H1,7,0.0,increase_or_same,False,False, Pret,0.31689453125, Pret,0.31689453125
L0.H1,8,-0.00390625,decrease,False,False, Dar,0.703125, Dar,0.69921875
L0.H1,9,-0.0242919921875,decrease,False,False, Kamp,0.229248046875, Kamp,0.2049560546875
L0.H1,10,0.007080078125,increase_or_same,False,False, Har,0.3955078125, Har,0.402587890625
L0.H1,11,0.002685546875,increase_or_same,False,False, L,0.433349609375, L,0.43603515625
L0.H1,12,0.007568359375,increase_or_same,False,False, Lu,0.303466796875, Lu,0.31103515625
L0.H1,13,0.007568359375,increase_or_same,False,False, Tun,0.30517578125, Tun,0.312744140625
L0.H1,14,0.00146484375,increase_or_same,False,False, Kh,0.5478515625, Kh,0.54931640625
L0.H1,15,0.02197265625,increase_or_same,False,False, Dak,0.5693359375, Dak,0.59130859375
L0.H2,0,-0.010498046875,decrease,False,False, Cairo,0.34619140625, Cairo,0.335693359375
L0.H2,1,0.0078125,increase_or_same,False,False, Lag,0.295654296875, Lag,0.303466796875
L0.H2,2,0.01806640625,increase_or_same,False,False, N,0.50048828125, N,0.5185546875
L0.H2,3,-0.00439453125,decrease,False,False, Add,0.54736328125, Add,0.54296875
L0.H2,4,-0.0084228515625,decrease,False,False, Cas,0.189453125, Cas,0.1810302734375
L0.H2,5,-0.0224609375,decrease,False,False, Acc,0.6328125, Acc,0.6103515625
L0.H2,6,0.0146484375,increase_or_same,False,False, Al,0.48681640625, Al,0.50146484375
L0.H2,7,-0.007080078125,decrease,True,False, Pret,0.31689453125, Cape,0.317138671875
L0.H2,8,-0.005859375,decrease,False,False, Dar,0.703125, Dar,0.697265625
L0.H2,9,-0.010986328125,decrease,False,False, Kamp,0.229248046875, Kamp,0.21826171875
