head_label,prompt_index,delta,delta_direction,top1_changed,dropped_from_top5,baseline_top1_token,baseline_top1_prob,resampled_top1_token,resampled_top1_prob
L0.H0,0,-0.0001220703125,decrease,False,False, Washington,0.1500244140625, Washington,0.14990234375
L0.H0,1,0.0052490234375,increase_or_same,False,False, Ottawa,0.15576171875, Ottawa,0.1610107421875
L0.H0,2,0.004150390625,increase_or_same,False,False, Mexico,0.190185546875, Mexico,0.1943359375
L0.H0,3,-0.007080078125,decrease,False,False, Hav,0.432861328125, Hav,0.42578125
L0.H0,4,0.0111083984375,increase_or_same,False,False, Guatemala,0.218994140625, Guatemala,0.2301025390625
L0.H0,5,-0.009765625,decrease,False,False, Panama,0.57421875, Panama,0.564453125
L0.H0,6,-0.0047607421875,decrease,False,False, Kingston,0.1578369140625, Kingston,0.153076171875
L0.H0,7,0.00537109375,increase_or_same,False,False, San,0.63427734375, San,0.6396484375
L0.H0,8,-0.0126953125,decrease,False,False, Port,0.39404296875, Port,0.38134765625
L0.H0,9,-0.00537109375,decrease,False,False, S,0.310546875, S,0.30517578125
L0.H0,10,0.00439453125,increase_or_same,False,False, T,0.341552734375, T,0.345947265625
L0.H0,11,0.005859375,increase_or_same,False,False, San,0.5283203125, San,0.5341796875
L0.H0,12,0.00732421875,increase_or_same,False,False, Man,0.53564453125, Man,0.54296875
L0.H0,13,-0.01953125,decrease,False,False, Bel,0.75, Bel,0.73046875
L0.H0,14,0.00439453125,increase_or_same,False,False, Br,0.1524658203125, Br,0.1568603515625
L0.H0,15,-0.005615234375,decrease,False,False, Port,0.29833984375, Port,0.292724609375
L0.H1,0,-0.0018310546875,decrease,False,False, Washington,0.1500244140625, Washington,0.148193359375
L0.H1,1,0.00830078125,increase_or_same,False,False, Ottawa,0.15576171875, Ottawa,0.1640625
L0.H1,2,-0.0045166015625,decrease,False,False, Mexico,0.190185546875, Mexico,0.1856689453125
L0.H1,3,0.01220703125,increase_or_same,False,False, Hav,0.432861328125, Hav,0.445068359375
L0.H1,4,0.0225830078125,increase_or_same,False,False, Guatemala,0.218994140625, Guatemala,0.2415771484375
L0.H1,5,0.00390625,increase_or_same,False,False, Panama,0.57421875, Panama,0.578125
L0.H1,6,-0.0147705078125,decrease,False,False, Kingston,0.1578369140625, Kingston,0.14306640625
L0.H1,7,0.00048828125,increase_or_same,False,False, San,0.63427734375, San,0.634765625
L0.H1,8,-0.015869140625,decrease,False,False, Port,0.39404296875, Port,0.378173828125
L0.H1,9,-0.000732421875,decrease,False,False, S,0.310546875, S,0.309814453125
L0.H1,10,0.00439453125,increase_or_same,False,False, T,0.341552734375, T,0.345947265625
L0.H1,11,-0.00390625,decrease,False,False, San,0.5283203125, San,0.5244140625
L0.H1,12,-0.00830078125,decrease,False,False, Man,0.53564453125, Man,0.52734375
L0.H1,13,-0.0205078125,decrease,False,False, Bel,0.75, Bel,0.7294921875
L0.H1,14,0.003173828125,increase_or_same,False,False, Br,0.1524658203125, Br,0.1556396484375
L0.H1,15,-0.008544921875,decrease,False,False, Port,0.29833984375, Port,0.289794921875
L0.H2,0,-0.0028076171875,decrease,False,False, Washington,0.1500244140625, Washington,0.147216796875
L0.H2,1,0.006591796875,increase_or_same,False,False, Ottawa,0.15576171875, Ottawa,0.162353515625
L0.H2,2,0.0020751953125,increase_or_same,False,False, Mexico,0.190185546875, Mexico,0.1922607421875
L0.H2,3,0.010498046875,increase_or_same,False,False, Hav,0.432861328125, Hav,0.443359375
L0.H2,4,0.0174560546875,increase_or_same,False,False, Guatemala,0.218994140625, Guatemala,0.2364501953125
L0.H2,5,-0.00244140625,decrease,False,False, Panama,0.57421875, Panama,0.57177734375
L0.H2,6,-0.0003662109375,decrease,False,False, Kingston,0.1578369140625, Kingston,0.157470703125
L0.H2,7,-0.0029296875,decrease,False,False, San,0.63427734375, San,0.63134765625
L0.H2,8,0.01123046875,increase_or_same,False,False, Port,0.39404296875, Port,0.4052734375
L0.H2,9,0.003173828125,increase_or_same,False,False, S,0.310546875, S,0.313720703125
L0.H2,10,0.01123046875,increase_or_same,False,False, T,0.341552734375, T,0.352783203125
L0.H2,11,0.01171875,increase_or_same,False,False, San,0.5283203125, San,0.5400390625
L0.H2,12,-0.0029296875,decrease,False,False, Man,0.53564453125, Man,0.53271484375
L0.H2,13,-0.0244140625,decrease,False,False, Bel,0.75, Bel,0.7255859375
L0.H2,14,0.0048828125,increase_or_same,False,False, Br,0.1524658203125, Br,0.1573486328125
L0.H2,15,-0.00048828125,decrease,False,False, Port,0.29833984375, Port,0.2978515625
L0.H3,0,0.006591796875,increase_or_same,False,False, Washington,0.1500244140625, Washington,0.1566162109375
L0.H3,1,0.00244140625,increase_or_same,False,False, Ottawa,0.15576171875, Ottawa,0.158203125
L0.H3,2,0.009033203125,increase_or_same,False,False, Mexico,0.190185546875, Mexico,0.19921875
L0.H3,3,0.01904296875,increase_or_same,False,False, Hav,0.432861328125, Hav,0.451904296875
L0.H3,4,0.0159912109375,increase_or_same,False,False, Guatemala,0.218994140625, Guatemala,0.2349853515625
L0.H3,5,-0.01806640625,decrease,False,False, Panama,0.57421875, Panama,0.55615234375
L0.H3,6,-0.0120849609375,decrease,False,False, Kingston,0.1578369140625, Kingston,0.145751953125
L0.H3,7,-0.01416015625,decrease,False,False, San,0.63427734375, San,0.6201171875
L0.H3,8,-0.004638671875,decrease,False,False, Port,0.39404296875, Port,0.389404296875
L0.H3,9,-0.00341796875,decrease,False,False, S,0.310546875, S,0.30712890625
L0.H3,10,0.01318359375,increase_or_same,False,False, T,0.341552734375, T,0.354736328125
L0.H3,11,0.0126953125,increase_or_same,False,False, San,0.5283203125, San,0.541015625
L0.H3,12,0.00732421875,increase_or_same,False,False, Man,0.53564453125, Man,0.54296875
L0.H3,13,-0.0009765625,decrease,False,False, Bel,0.75, Bel,0.7490234375
L0.H3,14,0.00341796875,increase_or_same,False,False, Br,0.1524658203125, Br,0.1558837890625
L0.H3,15,0.005615234375,increase_or_same,False,False, Port,0.29833984375, Port,0.303955078125
L0.H4,0,0.000732421875,increase_or_same,False,False, Washington,0.1500244140625, Washington,0.1507568359375
L0.H4,1,0.0057373046875,increase_or_same,False,False, Ottawa,0.15576171875, Ottawa,0.1614990234375
L0.H4,2,0.011474609375,increase_or_same,False,False, Mexico,0.190185546875, Mexico,0.20166015625
L0.H4,3,0.00244140625,increase_or_same,False,False, Hav,0.432861328125, Hav,0.435302734375
L0.H4,4,0.0009765625,increase_or_same,False,False, Guatemala,0.218994140625, Guatemala,0.219970703125
L0.H4,5,-0.00244140625,decrease,False,False, Panama,0.57421875, Panama,0.57177734375
L0.H4,6,-0.008056640625,decrease,False,False, Kingston,0.1578369140625, Kingston,0.1497802734375
L0.H4,7,-0.01171875,decrease,False,False, San,0.63427734375, San,0.62255859375
L0.H4,8,-0.023681640625,decrease,False,False, Port,0.39404296875, Port,0.370361328125
L0.H4,9,-0.01416015625,decrease,False,False, S,0.310546875, S,0.29638671875
L0.H4,10,0.00927734375,increase_or_same,False,False, T,0.341552734375, T,0.350830078125
L0.H4,11,0.00537109375,increase_or_same,False,False, San,0.5283203125, San,0.53369140625
L0.H4,12,-0.0029296875,decrease,False,False, Man,0.53564453125, Man,0.53271484375
L0.H4,13,-0.01708984375,decrease,False,False, Bel,0.75, Bel,0.73291015625
L0.H4,14,-0.000244140625,decrease,False,False, Br,0.1524658203125, Br,0.1522216796875
L0.H4,15,-0.00439453125,decrease,False,False, Port,0.29833984375, Port,0.2939453125
