head_label,prompt_index,delta,delta_direction,top1_changed,dropped_from_top5,baseline_top1_token,baseline_top1_prob,resampled_top1_token,resampled_top1_prob
L0.H0,0,-0.00537109375,decrease,False,False, Buenos,0.57080078125, Buenos,0.5654296875
L0.H0,1,-0.005126953125,decrease,False,False, Santiago,0.492431640625, Santiago,0.4873046875
L0.H0,2,-0.00439453125,decrease,False,False, L,0.365234375, L,0.36083984375
L0.H0,3,0.00048828125,increase_or_same,False,False, Bog,0.60595703125, Bog,0.6064453125
L0.H0,4,0.00830078125,increase_or_same,False,False, Q,0.51953125, Q,0.52783203125
L0.H0,5,0.006103515625,increase_or_same,False,False, La,0.35009765625, La,0.356201171875
L0.H0,6,-0.01416015625,decrease,False,False, Monte,0.60791015625, Monte,0.59375
L0.H0,7,0.007080078125,increase_or_same,False,False, As,0.358154296875, As,0.365234375
L0.H0,8,0.0030517578125,increase_or_same,False,False, Car,0.1773681640625, Car,0.180419921875
L0.H0,9,0.008056640625,increase_or_same,False,False, Ge,0.1944580078125, Ge,0.2025146484375
L0.H0,10,0.0040283203125,increase_or_same,False,False, Par,0.1351318359375, Par,0.13916015625
L0.H1,0,-0.02001953125,decrease,False,False, Buenos,0.57080078125, Buenos,0.55078125
L0.H1,1,-0.008544921875,decrease,False,False, Santiago,0.492431640625, Santiago,0.48388671875
L0.H1,2,-0.0107421875,decrease,False,False, L,0.365234375, L,0.3544921875
L0.H1,3,-0.00927734375,decrease,False,False, Bog,0.60595703125, Bog,0.5966796875
L0.H1,4,-0.0048828125,decrease,False,False, Q,0.51953125, Q,0.5146484375
L0.H1,5,0.003662109375,increase_or_same,False,False, La,0.35009765625, La,0.353759765625
L0.H1,6,-0.0283203125,decrease,False,False, Monte,0.60791015625, Monte,0.57958984375
L0.H1,7,0.008056640625,increase_or_same,False,False, As,0.358154296875, As,0.3662109375
L0.H1,8,-0.0008544921875,decrease,False,False, Car,0.1773681640625, Car,0.176513671875
L0.H1,9,0.0020751953125,increase_or_same,False,False, Ge,0.1944580078125, Ge,0.196533203125
L0.H1,10,0.00390625,increase_or_same,False,False, Par,0.1351318359375, Par,0.1390380859375
L0.H2,0,-0.00830078125,decrease,False,False, Buenos,0.57080078125, Buenos,0.5625
L0.H2,1,-0.0126953125,decrease,False,False, Santiago,0.492431640625, Santiago,0.479736328125
L0.H2,2,-0.003662109375,decrease,False,False, L,0.365234375, L,0.361572265625
L0.H2,3,-0.0029296875,decrease,False,False, Bog,0.60595703125, Bog,0.60302734375
L0.H2,4,0.015625,increase_or_same,False,False, Q,0.51953125, Q,0.53515625
L0.H2,5,0.001220703125,increase_or_same,False,False, La,0.35009765625, La,0.351318359375
L0.H2,6,-0.00830078125,decrease,False,False, Monte,0.60791015625, Monte,0.599609375
L0.H2,7,-0.004638671875,decrease,False,False, As,0.358154296875, As,0.353515625
L0.H2,8,-0.0020751953125,decrease,False,False, Car,0.1773681640625, Car,0.17529296875
L0.H2,9,-0.0093994140625,decrease,False,False, Ge,0.1944580078125, Ge,0.18505859375
L0.H2,10,-0.0008544921875,decrease,False,False, Par,0.1351318359375, Par,0.13427734375
L0.H3,0,0.0,increase_or_same,False,False, Buenos,0.57080078125, Buenos,0.57080078125
L0.H3,1,-0.001953125,decrease,False,False, Santiago,0.492431640625, Santiago,0.490478515625
L0.H3,2,-0.010986328125,decrease,False,False, L,0.365234375, L,0.354248046875
L0.H3,3,-0.0048828125,decrease,False,False, Bog,0.60595703125, Bog,0.60107421875
L0.H3,4,0.0107421875,increase_or_same,False,False, Q,0.51953125, Q,0.5302734375
L0.H3,5,-0.0029296875,decrease,False,False, La,0.35009765625, La,0.34716796875
L0.H3,6,-0.01123046875,decrease,False,False, Monte,0.60791015625, Monte,0.5966796875
L0.H3,7,-0.005615234375,decrease,False,False, As,0.358154296875, As,0.3525390625
L0.H3,8,-0.0048828125,decrease,False,False, Car,0.1773681640625, Car,0.1724853515625
L0.H3,9,-0.0015869140625,decrease,False,False, Ge,0.1944580078125, Ge,0.19287109375
L0.H3,10,-0.0008544921875,decrease,False,False, Par,0.1351318359375, Par,0.13427734375
L0.H4,0,-0.03564453125,decrease,False,False, Buenos,0.57080078125, Buenos,0.53515625
L0.H4,1,-0.014404296875,decrease,False,False, Santiago,0.492431640625, Santiago,0.47802734375
L0.H4,2,-0.02001953125,decrease,False,False, L,0.365234375, L,0.34521484375
L0.H4,3,0.01220703125,increase_or_same,False,False, Bog,0.60595703125, Bog,0.6181640625
L0.H4,4,0.01220703125,increase_or_same,False,False, Q,0.51953125, Q,0.53173828125
L0.H4,5,0.01513671875,increase_or_same,False,False, La,0.35009765625, La,0.365234375
L0.H4,6,-0.00537109375,decrease,False,False, Monte,0.60791015625, Monte,0.6025390625
L0.H4,7,-0.001220703125,decrease,False,False, As,0.358154296875, As,0.35693359375
L0.H4,8,-0.0076904296875,decrease,False,False, Car,0.1773681640625, Car,0.169677734375
L0.H4,9,-0.0096435546875,decrease,False,False, Ge,0.1944580078125, Ge,0.184814453125
L0.H4,10,0.0,increase_or_same,False,False, Par,0.1351318359375, Par,0.1351318359375
L0.H5,0,-0.03076171875,decrease,False,False, Buenos,0.57080078125, Buenos,0.5400390625
L0.H5,1,-0.01123046875,decrease,False,False, Santiago,0.492431640625, Santiago,0.481201171875
L0.H5,2,-0.018798828125,decrease,False,False, L,0.365234375, L,0.346435546875
L0.H5,3,0.0146484375,increase_or_same,False,False, Bog,0.60595703125, Bog,0.62060546875
L0.H5,4,-0.00439453125,decrease,False,False, Q,0.51953125, Q,0.51513671875
L0.H5,5,0.0,increase_or_same,False,False, La,0.35009765625, La,0.35009765625
L0.H5,6,-0.02099609375,decrease,False,False, Monte,0.60791015625, Monte,0.5869140625
L0.H5,7,0.005859375,increase_or_same,False,False, As,0.358154296875, As,0.364013671875
L0.H5,8,-0.0040283203125,decrease,False,False, Car,0.1773681640625, Car,0.17333984375
L0.H5,9,0.0079345703125,increase_or_same,False,False, Ge,0.1944580078125, Ge,0.202392578125
L0.H5,10,0.00341796875,increase_or_same,False,False, Par,0.1351318359375, Par,0.1385498046875
L0.H6,0,0.00048828125,increase_or_same,False,False, Buenos,0.57080078125, Buenos,0.5712890625
L0.H6,1,-0.01953125,decrease,False,False, Santiago,0.492431640625, Santiago,0.472900390625
L0.H6,2,0.010498046875,increase_or_same,False,False, L,0.365234375, L,0.375732421875
L0.H6,3,-0.00830078125,decrease,False,False, Bog,0.60595703125, Bog,0.59765625
L0.H6,4,0.00048828125,increase_or_same,False,False, Q,0.51953125, Q,0.52001953125
L0.H6,5,0.0,increase_or_same,False,False, La,0.35009765625, La,0.35009765625
L0.H6,6,-0.005859375,decrease,False,False, Monte,0.60791015625, Monte,0.60205078125
L0.H6,7,0.005859375,increase_or_same,False,False, As,0.358154296875, As,0.364013671875
L0.H6,8,-0.0018310546875,decrease,False,False, Car,0.1773681640625, Car,0.175537109375
L0.H6,9,0.005859375,increase_or_same,False,False, Ge,0.1944580078125, Ge,0.2003173828125
L0.H6,10,0.00244140625,increase_or_same,False,False, Par,0.1351318359375, Par,0.1375732421875
L0.H7,0,-0.0009765625,decrease,False,False, Buenos,0.57080078125, Buenos,0.56982421875
L0.H7,1,-0.012451171875,decrease,False,False, Santiago,0.492431640625, Santiago,0.47998046875
L0.H7,2,0.001220703125,increase_or_same,False,False, L,0.365234375, L,0.366455078125
