head_label,prompt_count,delta_mean,delta_variance,decrease_ratio,top1_changed_ratio,dropped_from_top5_ratio,dropped_from_top20_ratio
L15.H7,11,-0.18540815873579544,0.013902885054261233,1.0,0.2727272727272727,0.0,0.0
L16.H2,11,-0.06554066051136363,0.002346850808494347,0.9090909090909091,0.0,0.0,0.0
L18.H9,11,-0.03982821377840909,0.0015373909768979413,0.8181818181818182,0.0,0.0,0.0
L22.H2,11,-0.034246271306818184,0.0002994330461360206,1.0,0.09090909090909091,0.0,0.0
L15.H9,11,-0.02715509588068182,0.000563879889890182,0.8181818181818182,0.0,0.0,0.0
L17.H6,11,-0.026533647017045456,0.00023027515608417103,1.0,0.0,0.0,0.0
L19.H7,11,-0.026150790127840908,0.0011912078773679813,0.8181818181818182,0.0,0.0,0.0
L15.H11,11,-0.01983087713068182,0.000907576527477296,0.9090909090909091,0.09090909090909091,0.0,0.0
L14.H7,11,-0.018510298295454544,0.0003895387669240148,0.9090909090909091,0.09090909090909091,0.0,0.0
L23.H13,11,-0.015957919034090908,0.0001911631793030037,0.9090909090909091,0.09090909090909091,0.0,0.0
L16.H6,11,-0.014415394176136364,0.0005122896068352313,0.8181818181818182,0.09090909090909091,0.0,0.0
L16.H1,11,-0.01022061434659091,0.0002561430793163205,0.8181818181818182,0.0,0.0,0.0
