head_label,prompt_index,delta,delta_direction,top1_changed,dropped_from_top5,baseline_top1_token,baseline_top1_prob,resampled_top1_token,resampled_top1_prob
L0.H0,0,-0.0185546875,decrease,False,False,47,0.357177734375,47,0.338623046875
L0.H0,1,0.01416015625,increase_or_same,False,False,71,0.28515625,71,0.29931640625
L0.H0,2,0.0035400390625,increase_or_same,False,False,92,0.2315673828125,92,0.235107421875
L0.H0,3,-0.0927734375,decrease,False,False,99,0.54248046875,99,0.44970703125
L0.H0,4,-0.0048828125,decrease,False,False,85,0.268310546875,85,0.263427734375
L0.H0,5,0.0087890625,increase_or_same,False,False,77,0.6044921875,77,0.61328125
L0.H0,6,-0.009765625,decrease,False,False,99,0.275390625,99,0.265625
L0.H0,7,-0.007080078125,decrease,False,False,62,0.4013671875,62,0.394287109375
L0.H0,8,0.00146484375,increase_or_same,False,False,89,0.395751953125,89,0.397216796875
L0.H0,9,-0.02587890625,decrease,False,False,71,0.359375,71,0.33349609375
L0.H0,10,0.00048828125,increase_or_same,False,False,90,0.544921875,90,0.54541015625
L0.H0,11,-0.02294921875,decrease,False,False,81,0.54736328125,81,0.5244140625
L0.H0,12,0.007568359375,increase_or_same,True,False,86,0.285400390625,76,0.2998046875
L0.H0,13,-0.01220703125,decrease,False,False,99,0.2861328125,99,0.27392578125
L0.H0,14,0.03955078125,increase_or_same,False,False,90,0.259765625,90,0.29931640625
L0.H0,15,0.008056640625,increase_or_same,False,False,89,0.28759765625,89,0.295654296875
L0.H0,16,-0.0322265625,decrease,False,False,99,0.371826171875,99,0.339599609375
L0.H0,17,0.00341796875,increase_or_same,False,False,90,0.33984375,90,0.34326171875
L0.H0,18,-0.0035400390625,decrease,False,False,80,0.206298828125,80,0.2027587890625
L0.H0,19,-0.0062255859375,decrease,True,False,90,0.2159423828125,80,0.2113037109375
L0.H0,20,-0.013671875,decrease,True,False,97,0.1490478515625,87,0.1375732421875
L0.H0,21,-0.05615234375,decrease,False,False,91,0.3271484375,91,0.27099609375
L0.H0,22,0.01416015625,increase_or_same,False,False,90,0.642578125,90,0.65673828125
L0.H0,23,-0.013671875,decrease,False,False,88,0.1995849609375,88,0.1859130859375
L0.H0,24,-0.00537109375,decrease,False,False,59,0.5390625,59,0.53369140625
L0.H0,25,0.02099609375,increase_or_same,False,False,81,0.445556640625,81,0.466552734375
L0.H0,26,0.001953125,increase_or_same,False,False,89,0.67724609375,89,0.67919921875
L0.H0,27,-0.004638671875,decrease,False,False,99,0.39697265625,99,0.392333984375
L0.H0,28,-0.000244140625,decrease,False,False,81,0.3623046875,81,0.362060546875
L0.H0,29,-0.0087890625,decrease,False,False,79,0.44189453125,79,0.43310546875
L0.H0,30,0.020751953125,increase_or_same,False,False,74,0.46875,74,0.489501953125
L0.H0,31,0.00439453125,increase_or_same,False,False,105,0.2587890625,105,0.26318359375
L0.H0,32,0.023681640625,increase_or_same,False,False,83,0.348876953125,83,0.37255859375
L0.H0,33,-0.015380859375,decrease,False,False,85,0.302001953125,85,0.28662109375
L0.H0,34,0.0029296875,increase_or_same,False,False,94,0.4013671875,94,0.404296875
