head_label,prompt_index,delta,delta_direction,top1_changed,dropped_from_top5,baseline_top1_token,baseline_top1_prob,resampled_top1_token,resampled_top1_prob
L0.H0,0,-0.00634765625,decrease,False,False,288,0.69873046875,288,0.6923828125
L0.H0,1,0.013427734375,increase_or_same,False,False,480,0.274658203125,480,0.2880859375
L0.H0,2,-0.001220703125,decrease,False,False,486,0.1710205078125,486,0.1697998046875
L0.H0,3,0.0047607421875,increase_or_same,False,False,735,0.0953369140625,735,0.10009765625
L0.H0,4,0.017333984375,increase_or_same,False,False,672,0.4140625,672,0.431396484375
L0.H0,5,-0.00146484375,decrease,False,False,720,0.6875,720,0.68603515625
L0.H0,6,0.00390625,increase_or_same,False,False,900,0.40771484375,900,0.41162109375
L0.H0,7,0.00262451171875,increase_or_same,False,False,7,0.08062744140625,7,0.083251953125
L0.H0,8,-0.0008544921875,decrease,False,False,762,0.1463623046875,762,0.1455078125
L0.H0,9,-9.1552734375e-05,decrease,False,False,622,0.04132080078125,622,0.041229248046875
L0.H0,10,0.00390625,increase_or_same,False,False,870,0.1519775390625,870,0.1558837890625
L0.H0,11,0.0106201171875,increase_or_same,False,False,7,0.1441650390625,7,0.15478515625
L0.H0,12,0.010986328125,increase_or_same,False,False,8,0.17724609375,8,0.188232421875
L0.H0,13,-0.042236328125,decrease,False,False,72,0.39208984375,72,0.349853515625
L0.H0,14,0.0126953125,increase_or_same,False,False,896,0.26416015625,896,0.27685546875
L0.H0,15,0.00048828125,increase_or_same,False,False,80,0.3173828125,80,0.31787109375
L0.H0,16,0.0008544921875,increase_or_same,False,False,7,0.102783203125,7,0.1036376953125
L0.H0,17,-0.0013427734375,decrease,False,False,8,0.1099853515625,8,0.108642578125
L0.H0,18,0.014404296875,increase_or_same,False,False,910,0.2998046875,910,0.314208984375
L0.H0,19,-0.010894775390625,decrease,False,False,870,0.06707763671875,870,0.056182861328125
L0.H0,20,0.001953125,increase_or_same,False,False,8,0.11358642578125,8,0.11553955078125
L0.H0,21,0.0020751953125,increase_or_same,False,False,90,0.1668701171875,90,0.1689453125
L0.H0,22,-0.01123046875,decrease,False,False, 8,0.4755859375, 8,0.46435546875
L0.H0,23,0.0030517578125,increase_or_same,False,False,10,0.09771728515625,10,0.10076904296875
L0.H0,24,-0.0009765625,decrease,False,False,88,0.0982666015625,88,0.0972900390625
