head_label,prompt_index,delta,delta_direction,top1_changed,dropped_from_top5,baseline_top1_token,baseline_top1_prob,resampled_top1_token,resampled_top1_prob
L0.H0,0,0.0,increase_or_same,False,False,cold,0.85546875,cold,0.85546875
L0.H0,1,-0.0146484375,decrease,False,False,small,0.6318359375,small,0.6171875
L0.H0,2,-0.017578125,decrease,False,False,short,0.6279296875,short,0.6103515625
L0.H0,3,-0.0029296875,decrease,False,False,slow,0.916015625,slow,0.9130859375
L0.H0,4,0.010986328125,increase_or_same,False,False,s,0.345703125,s,0.356689453125
L0.H0,5,0.0029296875,increase_or_same,False,False,down,0.9140625,down,0.9169921875
L0.H0,6,-0.0048828125,decrease,False,False,right,0.95703125,right,0.9521484375
L0.H0,7,0.01904296875,increase_or_same,False,False,late,0.78759765625,late,0.806640625
L0.H0,8,-0.009765625,decrease,False,False,closed,0.7587890625,closed,0.7490234375
L0.H0,9,0.00146484375,increase_or_same,False,False,dark,0.85400390625,dark,0.85546875
L0.H0,10,-0.01171875,decrease,False,False,soft,0.59716796875,soft,0.58544921875
L0.H0,11,0.03369140625,increase_or_same,False,False,dirty,0.669921875,dirty,0.70361328125
L0.H0,12,-0.005859375,decrease,False,False,poor,0.85595703125,poor,0.85009765625
L0.H0,13,-0.01220703125,decrease,False,False,old,0.70947265625,old,0.697265625
L0.H0,14,0.00146484375,increase_or_same,False,False,weak,0.84130859375,weak,0.8427734375
L0.H0,15,0.0009765625,increase_or_same,False,False,empty,0.3759765625,empty,0.376953125
L0.H0,16,0.005859375,increase_or_same,False,False,low,0.87890625,low,0.884765625
L0.H0,17,0.00927734375,increase_or_same,False,False,n,0.70068359375,n,0.7099609375
L0.H0,18,-0.0078125,decrease,False,False,short,0.81396484375,short,0.80615234375
L0.H0,19,0.0029296875,increase_or_same,False,False,thin,0.9462890625,thin,0.94921875
L0.H0,20,0.0003662109375,increase_or_same,False,False,sh,0.157470703125,sh,0.1578369140625
L0.H0,21,-0.0009765625,decrease,False,False,light,0.78857421875,light,0.78759765625
L0.H0,22,0.00927734375,increase_or_same,False,False,dark,0.58837890625,dark,0.59765625
L0.H0,23,-0.00390625,decrease,False,False,w,0.59765625,w,0.59375
L0.H0,24,-0.00927734375,decrease,False,False,cold,0.6181640625,cold,0.60888671875
