head_label,prompt_index,delta,delta_direction,top1_changed,dropped_from_top5,baseline_top1_token,baseline_top1_prob,resampled_top1_token,resampled_top1_prob
L0.H0,0,-0.0009765625,decrease,False,False, Paris,0.384521484375, Paris,0.383544921875
L0.H0,1,-0.020751953125,decrease,False,False, New,0.46875, New,0.447998046875
L0.H0,2,-0.00634765625,decrease,False,False, the,0.2509765625, the,0.24462890625
L0.H0,3,-0.001953125,decrease,False,False, the,0.1839599609375, the,0.1820068359375
L0.H0,4,0.004150390625,increase_or_same,False,False, the,0.259033203125, the,0.26318359375
L0.H0,5,-0.0010986328125,decrease,False,False, Egypt,0.240478515625, Egypt,0.2393798828125
L0.H0,6,0.0040283203125,increase_or_same,False,False, the,0.193359375, the,0.1973876953125
L0.H0,7,0.00634765625,increase_or_same,False,False, the,0.338623046875, the,0.344970703125
L0.H0,8,-0.004150390625,decrease,False,False, the,0.323974609375, the,0.31982421875
L0.H0,9,-0.0040283203125,decrease,False,False, the,0.2105712890625, the,0.20654296875
L0.H0,10,-0.001220703125,decrease,False,False, the,0.2384033203125, the,0.2371826171875
L0.H0,11,-0.0028076171875,decrease,False,False, the,0.2269287109375, the,0.22412109375
L0.H0,12,0.0,increase_or_same,False,False, New,0.3876953125, New,0.3876953125
L0.H0,13,-0.001953125,decrease,False,False, the,0.347900390625, the,0.345947265625
L0.H0,14,0.003173828125,increase_or_same,False,False, the,0.303466796875, the,0.306640625
L0.H0,15,-0.00830078125,decrease,False,False, the,0.30810546875, the,0.2998046875
L0.H0,16,-0.0146484375,decrease,False,False, the,0.442138671875, the,0.427490234375
L0.H0,17,0.005859375,increase_or_same,False,False, Paris,0.333740234375, Paris,0.339599609375
L0.H0,18,0.000244140625,increase_or_same,False,False, the,0.310791015625, the,0.31103515625
L0.H0,19,-0.000244140625,decrease,False,False, the,0.2607421875, the,0.260498046875
L0.H0,20,0.0018310546875,increase_or_same,False,False, the,0.2462158203125, the,0.248046875
L0.H0,21,-0.0003662109375,decrease,False,False, the,0.1707763671875, the,0.17041015625
L0.H0,22,0.0032958984375,increase_or_same,False,False, danger,0.2425537109375, danger,0.245849609375
L0.H0,23,0.0086669921875,increase_or_same,False,False, danger,0.1717529296875, danger,0.180419921875
L0.H0,24,0.00244140625,increase_or_same,False,False, the,0.243896484375, the,0.246337890625
L0.H0,25,-0.003173828125,decrease,False,False, the,0.294677734375, the,0.29150390625
L0.H0,26,0.0037841796875,increase_or_same,False,False, place,0.1727294921875, place,0.176513671875
L0.H0,27,0.004638671875,increase_or_same,False,False, the,0.28662109375, the,0.291259765625
L0.H0,28,-0.004638671875,decrease,False,False, the,0.288818359375, the,0.2841796875
L0.H0,29,0.0042724609375,increase_or_same,False,False, the,0.2191162109375, the,0.223388671875
L0.H0,30,0.0,increase_or_same,False,False, the,0.34423828125, the,0.34423828125
L0.H0,31,-0.00732421875,decrease,False,False, the,0.329345703125, the,0.322021484375
L0.H0,32,-0.00927734375,decrease,False,False, the,0.386962890625, the,0.377685546875
L0.H0,33,-0.0030517578125,decrease,False,False, the,0.206787109375, the,0.2037353515625
