head_label,prompt_index,delta,delta_direction,top1_changed,dropped_from_top5,baseline_top1_token,baseline_top1_prob,resampled_top1_token,resampled_top1_prob
L0.H0,0,-0.00396728515625,decrease,False,False, Germany,0.1275634765625, Germany,0.12359619140625
L0.H0,1,-0.004150390625,decrease,False,False, London,0.13720703125, London,0.133056640625
L0.H0,2,0.0029296875,increase_or_same,False,False, 15,0.16064453125, 15,0.16357421875
L0.H0,3,0.0001220703125,increase_or_same,False,False, 18,0.1412353515625, 18,0.141357421875
L0.H0,4,0.00030517578125,increase_or_same,False,False, Paris,0.0771484375, Paris,0.07745361328125
L0.H0,5,-0.00128173828125,decrease,False,False, the,0.10797119140625, the,0.106689453125
L0.H0,6,0.0008544921875,increase_or_same,False,False, Cambridge,0.1129150390625, Cambridge,0.11376953125
L0.H0,7,0.00244140625,increase_or_same,False,False, 14,0.274169921875, 14,0.276611328125
L0.H0,8,0.0087890625,increase_or_same,False,False, Strat,0.57763671875, Strat,0.58642578125
L0.H0,9,-0.0068359375,decrease,False,False, Sal,0.338623046875, Sal,0.331787109375
L0.H0,10,-0.000244140625,decrease,False,False, 17,0.252685546875, 17,0.25244140625
L0.H0,11,0.0048828125,increase_or_same,False,False, a,0.150390625, a,0.1552734375
L0.H0,12,-0.00439453125,decrease,False,False, Hon,0.406982421875, Hon,0.402587890625
L0.H0,13,-0.005126953125,decrease,False,False, New,0.433837890625, New,0.4287109375
L0.H0,14,-0.002197265625,decrease,False,False, Sc,0.17529296875, Sc,0.173095703125
L0.H0,15,-0.0037841796875,decrease,False,False, the,0.15673828125, the,0.1529541015625
L0.H0,16,-0.0015869140625,decrease,False,False, a,0.134033203125, a,0.1324462890625
L0.H0,17,-0.019287109375,decrease,False,False, Atlanta,0.2340087890625, Atlanta,0.2147216796875
L0.H0,18,0.0006103515625,increase_or_same,False,False, Moscow,0.11639404296875, Moscow,0.11700439453125
L0.H0,19,-0.001953125,decrease,False,False, the,0.0828857421875, the,0.0809326171875
L0.H0,20,0.000244140625,increase_or_same,False,False, the,0.039093017578125, the,0.039337158203125
L0.H0,21,-0.0057373046875,decrease,False,False, Ak,0.213623046875, Ak,0.2078857421875
L0.H0,22,0.0062255859375,increase_or_same,False,False, Barcelona,0.1446533203125, Barcelona,0.15087890625
L0.H0,23,0.000732421875,increase_or_same,False,False, the,0.126220703125, the,0.126953125
L0.H0,24,-6.103515625e-05,decrease,False,False, Jamaica,0.088134765625, Jamaica,0.08807373046875
L0.H0,25,0.000457763671875,increase_or_same,False,False, New,0.060546875, New,0.061004638671875
L0.H0,26,-6.103515625e-05,decrease,False,False, the,0.0638427734375, the,0.06378173828125
L0.H0,27,0.005615234375,increase_or_same,False,False, Memphis,0.2783203125, Memphis,0.283935546875
L0.H0,28,-0.00262451171875,decrease,False,False, the,0.07525634765625, the,0.0726318359375
L0.H0,29,-0.002197265625,decrease,False,False, Nashville,0.043914794921875, Nashville,0.041717529296875
L0.H0,30,-0.0030517578125,decrease,False,False, New,0.210205078125, New,0.2071533203125
L0.H0,31,-0.00030517578125,decrease,False,False, the,0.07275390625, the,0.07244873046875
L0.H0,32,-0.00018310546875,decrease,False,False, the,0.0587158203125, the,0.05853271484375
L0.H0,33,-0.001708984375,decrease,True,False, Los,0.054290771484375, the,0.0546875
L0.H0,34,0.0001220703125,increase_or_same,False,False, the,0.0760498046875, the,0.076171875
L0.H0,35,3.0517578125e-05,increase_or_same,False,False, New,0.04730224609375, New,0.047332763671875
L0.H0,36,-0.00091552734375,decrease,False,False, the,0.060516357421875, the,0.059600830078125
L0.H0,37,-0.000732421875,decrease,False,False, New,0.1060791015625, New,0.1053466796875
L0.H0,38,-0.000152587890625,decrease,False,False, the,0.0498046875, the,0.049652099609375
L0.H0,39,-0.0008544921875,decrease,False,False, San,0.06646728515625, San,0.06561279296875
L0.H0,40,-0.00152587890625,decrease,True,False, New,0.05126953125, the,0.050537109375
L0.H0,41,-0.00128173828125,decrease,False,False, New,0.12469482421875, New,0.1234130859375
L0.H0,42,-0.000732421875,decrease,False,False, Seattle,0.10687255859375, Seattle,0.10614013671875
L0.H0,43,-0.000701904296875,decrease,False,False, New,0.052703857421875, New,0.052001953125
L0.H0,44,-0.0062255859375,decrease,False,False, Moscow,0.193359375, Moscow,0.1871337890625
L0.H0,45,0.0087890625,increase_or_same,False,False, 14,0.2685546875, 14,0.27734375
L0.H0,46,-0.002685546875,decrease,False,False, 17,0.20654296875, 17,0.203857421875
L0.H0,47,-0.00341796875,decrease,False,False, Rome,0.1588134765625, Rome,0.1553955078125
L0.H0,48,-0.001220703125,decrease,False,False, the,0.1627197265625, the,0.1614990234375
L0.H0,49,0.00384521484375,increase_or_same,False,False, the,0.09600830078125, the,0.099853515625
L0.H1,0,-0.001953125,decrease,False,False, Germany,0.1275634765625, Germany,0.1256103515625
L0.H1,1,0.0030517578125,increase_or_same,False,False, London,0.13720703125, London,0.1402587890625
L0.H1,2,0.002197265625,increase_or_same,False,False, 15,0.16064453125, 15,0.162841796875
L0.H1,3,0.000244140625,increase_or_same,False,False, 18,0.1412353515625, 18,0.1414794921875
L0.H1,4,-0.0015869140625,decrease,False,False, Paris,0.0771484375, Paris,0.0755615234375
L0.H1,5,-0.00335693359375,decrease,False,False, the,0.10797119140625, the,0.1046142578125
L0.H1,6,-0.00164794921875,decrease,False,False, Cambridge,0.1129150390625, Cambridge,0.11126708984375
L0.H1,7,-0.001953125,decrease,False,False, 14,0.274169921875, 14,0.272216796875
L0.H1,8,-0.00341796875,decrease,False,False, Strat,0.57763671875, Strat,0.57421875
L0.H1,9,-0.008056640625,decrease,False,False, Sal,0.338623046875, Sal,0.33056640625
L0.H1,10,0.000244140625,increase_or_same,False,False, 17,0.252685546875, 17,0.2529296875
L0.H1,11,-0.001953125,decrease,False,False, a,0.150390625, a,0.1484375
L0.H1,12,-0.00634765625,decrease,False,False, Hon,0.406982421875, Hon,0.400634765625
L0.H1,13,0.008544921875,increase_or_same,False,False, New,0.433837890625, New,0.4423828125
L0.H1,14,-0.0018310546875,decrease,False,False, Sc,0.17529296875, Sc,0.1734619140625
L0.H1,15,0.0,increase_or_same,False,False, the,0.15673828125, the,0.15673828125
L0.H1,16,-0.002197265625,decrease,False,False, a,0.134033203125, a,0.1318359375
L0.H1,17,0.0023193359375,increase_or_same,False,False, Atlanta,0.2340087890625, Atlanta,0.236328125
L0.H1,18,-0.00390625,decrease,False,False, Moscow,0.11639404296875, Moscow,0.11248779296875
L0.H1,19,-0.00067138671875,decrease,False,False, the,0.0828857421875, the,0.08221435546875
L0.H1,20,0.0,increase_or_same,False,False, the,0.039093017578125, the,0.039093017578125
L0.H1,21,-0.0047607421875,decrease,False,False, Ak,0.213623046875, Ak,0.2088623046875
L0.H1,22,0.005615234375,increase_or_same,False,False, Barcelona,0.1446533203125, Barcelona,0.1502685546875
L0.H1,23,0.0006103515625,increase_or_same,False,False, the,0.126220703125, the,0.1268310546875
L0.H1,24,-0.00274658203125,decrease,False,False, Jamaica,0.088134765625, Jamaica,0.08538818359375
L0.H1,25,-0.00048828125,decrease,False,False, New,0.060546875, New,0.06005859375
L0.H1,26,-0.0003662109375,decrease,False,False, the,0.0638427734375, the,0.0634765625
L0.H1,27,0.0048828125,increase_or_same,False,False, Memphis,0.2783203125, Memphis,0.283203125
L0.H1,28,-0.00115966796875,decrease,False,False, the,0.07525634765625, the,0.0740966796875
L0.H1,29,-0.000152587890625,decrease,False,False, Nashville,0.043914794921875, Nashville,0.04376220703125
L0.H1,30,-0.0074462890625,decrease,False,False, New,0.210205078125, New,0.2027587890625
L0.H1,31,0.0010986328125,increase_or_same,False,False, the,0.07275390625, the,0.0738525390625
L0.H1,32,6.103515625e-05,increase_or_same,False,False, the,0.0587158203125, the,0.05877685546875
L0.H1,33,0.0003662109375,increase_or_same,False,False, Los,0.054290771484375, Los,0.054656982421875
L0.H1,34,-0.000732421875,decrease,False,False, the,0.0760498046875, the,0.0753173828125
L0.H1,35,0.00079345703125,increase_or_same,False,False, New,0.04730224609375, New,0.048095703125
L0.H1,36,-0.001190185546875,decrease,False,False, the,0.060516357421875, the,0.059326171875
L0.H1,37,-0.00115966796875,decrease,False,False, New,0.1060791015625, New,0.10491943359375
L0.H1,38,-0.0009765625,decrease,False,False, the,0.0498046875, the,0.048828125
L0.H1,39,-0.0018310546875,decrease,False,False, San,0.06646728515625, San,0.06463623046875
L0.H1,40,-0.000946044921875,decrease,True,False, New,0.05126953125, the,0.05072021484375
L0.H1,41,-0.00341796875,decrease,False,False, New,0.12469482421875, New,0.12127685546875
L0.H1,42,0.00067138671875,increase_or_same,False,False, Seattle,0.10687255859375, Seattle,0.1075439453125
